Device_Index,State_Index,Module_Path,Data_Type,Register_Name,Verilog_Type,Description
29,0,jt51_reg,packed_registers,"zero, half, op31_no, op31_acc, cur","reg, reg, reg, reg, reg[5-1:0]","Packed registers: zero, half, op31_no, op31_acc, cur"
29,0+,jt51_mmr.u_reg,module_instance,jt51_reg,module,Instance of jt51_reg
30,0,jt51_kon,packed_registers,keyon_II,reg,Packed registers: keyon_II
30,0+,jt51_reg.u_kon,module_instance,jt51_kon,module,Instance of jt51_kon
31,0:start+width-1,jt51_sh,array,bits,reg[stages-1:0][width-1:0],Array with width elements
31,0+,jt51_kon.u_konch,module_instance,jt51_sh,module,Instance of jt51_sh
32,0+,jt51_reg.u_csr_op,module_instance,jt51_csr_op,module,Instance of jt51_csr_op
33,0:start+width-1,jt51_sh,array,bits,reg[stages-1:0][width-1:0],Array with width elements
33,0+,jt51_csr_op.u_reg0op,module_instance,jt51_sh,module,Instance of jt51_sh
34,0:start+width-1,jt51_sh,array,bits,reg[stages-1:0][width-1:0],Array with width elements
34,0+,jt51_csr_op.u_reg1op,module_instance,jt51_sh,module,Instance of jt51_sh
35,0,jt51_reg_ch,packed_registers,"rl, ams_VII, pms, fb_II, con, kf, kc","reg[2-1:0], reg[2-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[6-1:0], reg[7-1:0]","Packed registers: rl, ams_VII, pms, fb_II, con, kf, kc"
35,1:8,jt51_reg_ch,array,reg_ams,reg[2-1:0][8-1:0],Array with 8 elements
35,9:unknown,jt51_reg_ch,array,reg_con,reg[3-1:0][8-1:0],Array with unknown size
35,0+,jt51_reg.u_csr_ch,module_instance,jt51_reg_ch,module,Instance of jt51_reg_ch
35,(((((9 + 8) + 8) + 8) + 8) + 8):unknown,jt51_reg_ch,array,reg_rl,reg[2-1:0][8-1:0],Array with unknown size
35,(9 + 8):unknown,jt51_reg_ch,array,reg_fb,reg[3-1:0][8-1:0],Array with unknown size
35,((9 + 8) + 8):unknown,jt51_reg_ch,array,reg_kc,reg[7-1:0][8-1:0],Array with unknown size
35,(((9 + 8) + 8) + 8):unknown,jt51_reg_ch,array,reg_kf,reg[6-1:0][8-1:0],Array with unknown size
35,((((9 + 8) + 8) + 8) + 8):unknown,jt51_reg_ch,array,reg_pms,reg[3-1:0][8-1:0],Array with unknown size
